tod_main_mode,trip_purpose_main_mode,model_type_main_mode,main_mode_utility_lhs,main_mode_utility_equation,main_mode_comments,tod_access_mode,trip_purpose_access_mode,model_type_access_mode,access_transit_mode,access_mode_utility_lhs,access_mode_utility_equation,access_mode_comments,tod_egress_mode,trip_purpose_egress_mode,model_type_egress_mode,egress_transit_mode,egress_mode_utility_lhs,egress_mode_utility_equation,egress_mode_comments
AM,HBW,MNL,V_Walk,0.192 - 0.064*ivtt_Walk - 0*ovtt_Walk - 0*cost_Walk,,AM,HBW,MNL,Bus,V_access_Walk,0.963 - 0.019*ivtt_access_Walk - 0*ovtt_access_Walk - 0*cost_access_Walk,,AM,HBW,MNL,Bus,V_egress_Walk,0.287 - 0.019*ivtt_egress_Walk - 0*ovtt_egress_Walk - 0*cost_egress_Walk,
AM,HBW,MNL,V_Bicycle,(-0.751) - 0.064*ivtt_Bicycle - 0*ovtt_Bicycle - 0*cost_Bicycle,,AM,HBW,MNL,Bus,V_access_Bicycle,0.246 - 0.019*ivtt_access_Bicycle - 0*ovtt_access_Bicycle - 0*cost_access_Bicycle,,AM,HBW,MNL,Bus,V_egress_Auto_Rickshaw,(- 0.007)*ivtt_egress_Auto_Rickshaw - 0.007*ovtt_egress_Auto_Rickshaw - 0.002*cost_egress_Auto_Rickshaw,
AM,HBW,MNL,V_Own_Two_Wheeler,0.309 - 0.006*ivtt_Own_Two_Wheeler - 0.006*ovtt_Own_Two_Wheeler - 0.002*cost_Own_Two_Wheeler,,AM,HBW,MNL,Bus,V_access_Own_Two_Wheeler,0.259 - 0.007*ivtt_access_Own_Two_Wheeler - 0.007*ovtt_access_Own_Two_Wheeler - 0.002*cost_access_Own_Two_Wheeler,,AM,HBW,MNL,Bus,V_egress_App_Based_Two_Wheeler,0.259 - 0.007*ivtt_egress_App_Based_Two_Wheeler - 0.007*ovtt_egress_App_Based_Two_Wheeler - 0.002*cost_egress_App_Based_Two_Wheeler,
AM,HBW,MNL,V_Own_Car,(-0.132) - 0.006*ivtt_Own_Car - 0.006*ovtt_Own_Car - 0.006*cost_Own_Car,,AM,HBW,MNL,Bus,V_access_Own_Car,0.111 - 0.007*ivtt_access_Own_Car - 0.007*ovtt_access_Own_Car - 0.002*cost_access_Own_Car,,AM,HBW,MNL,Bus,V_egress_App_Based_Car,0.111 - 0.007*ivtt_egress_App_Based_Car - 0.007*ovtt_egress_App_Based_Car - 0.002*cost_egress_App_Based_Car,
AM,HBW,MNL,V_Bus,(-0.006)*ivtt_Bus - 0.006*ovtt_Bus - 0.002*cost_Bus +0.153*LS_access_Bus + 0.081*LS_egress_Bus,,AM,HBW,MNL,Bus,V_access_Auto_Rickshaw,(- 0.007)*ivtt_access_Auto_Rickshaw - 0.007*ovtt_access_Auto_Rickshaw - 0.002*cost_access_Auto_Rickshaw,,AM,HBW,MNL,Metro,V_egress_Walk,0.162 - 0.019*ivtt_egress_Walk - 0*ovtt_egress_Walk - 0*cost_egress_Walk,
AM,HBW,MNL,V_Metro,0.246 - 0.006*ivtt_Metro - 0.006*ovtt_Metro - 0.002*cost_Metro + 0.061*LS_access_Metro + 0.159*LS_egress_Metro,,AM,HBW,MNL,Bus,V_access_App_Based_Two_Wheeler,0.259 - 0.007*ivtt_access_App_Based_Two_Wheeler - 0.007*ovtt_access_App_Based_Two_Wheeler - 0.002*cost_access_App_Based_Two_Wheeler,,AM,HBW,MNL,Metro,V_egress_Auto_Rickshaw,(- 0.007)*ivtt_egress_Auto_Rickshaw - 0.007*ovtt_egress_Auto_Rickshaw - 0.002*cost_egress_Auto_Rickshaw,
AM,HBW,MNL,V_Bus_and_Metro,(-3.023) - 0.006*ivtt_Bus_and_Metro - 0.006*ovtt_Bus_and_Metro - 0.002*cost_Bus_and_Metro  + 1*LS_access_Bus_and_Metro + 0.061*LS_egress_Bus_and_Metro,,AM,HBW,MNL,Bus,V_access_App_Based_Car,0.111 - 0.007*ivtt_access_App_Based_Car - 0.007*ovtt_access_App_Based_Car - 0.002*cost_access_App_Based_Car,,AM,HBW,MNL,Metro,V_egress_App_Based_Two_Wheeler,0.144 - 0.007*ivtt_egress_App_Based_Two_Wheeler - 0.007*ovtt_egress_App_Based_Two_Wheeler - 0.002*cost_egress_App_Based_Two_Wheeler,
AM,HBW,MNL,V_Auto_Rickshaw,(-2.171) - 0.006*ivtt_Auto_Rickshaw - 0.006*ovtt_Auto_Rickshaw - 0.002*cost_Auto_Rickshaw,,AM,HBW,MNL,Metro,V_access_Walk,0.048 - 0.019*ivtt_access_Walk - 0*ovtt_access_Walk - 0*cost_access_Walk,,AM,HBW,MNL,Metro,V_egress_App_Based_Car,0.062 - 0.007*ivtt_egress_App_Based_Car - 0.007*ovtt_egress_App_Based_Car - 0.002*cost_egress_App_Based_Car,
AM,HBW,MNL,V_App_Based_Two_Wheeler,(-1.021) - 0.006*ivtt_App_Based_Two_Wheeler - 0.006*ovtt_App_Based_Two_Wheeler - 0.002*cost_App_Based_Two_Wheeler,,AM,HBW,MNL,Metro,V_access_Bicycle,0.012- 0.019*ivtt_access_Bicycle - 0*ovtt_access_Bicycle - 0*cost_access_Bicycle,,AM,HBW,MNL,Bus_and_Metro,V_egress_Walk,0.130 - 0.019*ivtt_egress_Walk - 0*ovtt_egress_Walk - 0*cost_egress_Walk,
AM,HBW,MNL,V_App_Based_Car,(-1.021) - 0.006*ivtt_App_Based_Car - 0.006*ovtt_App_Based_Car - 0.002*cost_App_Based_Car,,AM,HBW,MNL,Metro,V_access_Own_Two_Wheeler,0.632 - 0.007*ivtt_access_Own_Two_Wheeler - 0.007*ovtt_access_Own_Two_Wheeler - 0.002*cost_access_Own_Two_Wheeler,,AM,HBW,MNL,Bus_and_Metro,V_egress_Auto_Rickshaw,(- 0.007)*ivtt_egress_Auto_Rickshaw - 0.007*ovtt_egress_Auto_Rickshaw - 0.002*cost_egress_Auto_Rickshaw,
